Player,Pos,Ridge,RF,SVM,NeuralNet,Mu,Sigma,Sharpe
Josh Allen,QB,286.3250047,307.2888,266.2759815,292.28287,288.043164,16.98167558,16.96199899
Dak Prescott,QB,284.6559595,284.6384,276.569054,296.45483,285.5795609,8.18941463,34.87179167
Patrick Mahomes,QB,302.1982601,269.7224,256.1324418,309.96066,284.5034405,25.72009198,11.061525
Joe Burrow,QB,278.5067954,280.0864,273.7039018,294.27884,281.6439843,8.849717727,31.82519409
Matthew Stafford,QB,297.249388,251.112,243.3876698,305.46317,274.303057,31.57569235,8.687158904
Justin Herbert,QB,301.391868,234.1736,242.3416071,313.1468,272.7634688,40.27019711,6.773333343
Kirk Cousins,QB,240.3962409,316.08,259.0513347,253.68944,267.3042539,33.4494066,7.991300326
Kyler Murray,QB,232.6641356,254.6056,257.0434649,254.08478,249.5994951,11.36365484,21.96471986
Derek Carr,QB,237.1864571,243.3048,261.5002157,249.47285,247.8660807,10.38156997,23.87558735
Carson Wentz,QB,218.7920362,265.2784,246.1887403,222.55214,238.2028291,21.74537705,10.95418252
Aaron Rodgers,QB,263.379054,221.8664,206.6550597,250.21387,235.5285959,25.89492859,9.095549157
Mac Jones,QB,227.2102479,244.6992,239.8129099,230.18379,235.476537,8.169176796,28.82500194
Tom Brady,QB,293.5359103,198.4424,156.1219067,271.82883,229.9822618,63.87570337,3.600465429
Jimmy Garoppolo,QB,205.6992381,203.5616,236.2411439,220.26033,216.440578,15.14262608,14.29346382
Russell Wilson,QB,185.6327419,207.8632,185.0153232,200.65825,194.7923788,11.32467183,17.20070848
Lamar Jackson,QB,184.1739632,182.3512,194.9323529,208.19548,192.413249,11.8961529,16.17440955
Taylor Heinicke,QB,192.1952091,153.3056,215.7100555,197.58739,189.6995637,26.26475667,7.222589801
Ryan Tannehill,QB,212.0395555,151.7032,214.3220444,176.24673,188.5778825,30.13863247,6.257015233
Jalen Hurts,QB,189.2247947,157.248,197.6309151,194.80315,184.7267149,18.64908774,9.90540221
Jared Goff,QB,175.4643293,194.8488,182.4461447,180.93227,183.422886,8.186316373,22.40603437
Teddy Bridgewater,QB,178.8089105,164.9104,188.5875722,189.80748,180.5285907,11.51709094,15.67484286
Tua Tagovailoa,QB,179.6931078,166.0408,181.1913132,192.27428,179.7998753,10.75283567,16.72115904
Trevor Lawrence,QB,168.7621093,241.292,173.0235754,131.46283,178.6351287,45.75323424,3.904316966
Baker Mayfield,QB,177.0863567,139.6824,185.9563015,190.66714,173.3480496,23.13921499,7.491526814
Ben Roethlisberger,QB,190.9014684,151.016,173.1031083,159.97102,168.7478992,17.33207368,9.736163271
Matt Ryan,QB,186.0817148,123.7272,185.6985105,150.59828,161.5264263,30.19634493,5.349204572
Daniel Jones,QB,145.101266,204.2944,131.9504694,157.2759,159.6555089,31.50496435,5.067630201
Davis Mills,QB,156.1765435,176.0416,140.4748211,145.74191,154.6087187,15.70789433,9.842739927
Sam Darnold,QB,142.5525466,183.8912,129.719924,144.19635,150.0900052,23.44503807,6.401781251
Zach Wilson,QB,135.0635671,225.0776,116.0775363,120.71375,149.2331133,51.20484538,2.914433434
Jameis Winston,QB,127.718847,118.0592,80.96716821,131.01604,114.4403138,22.98276134,4.979397911
Justin Fields,QB,113.6415793,149.7056,83.0714497,65.30072,102.9298372,37.02710457,2.779851096
Trey Lance,QB,79.5837732,132.5312,47.56823708,22.763796,70.61175157,47.38123988,1.490289231
Mike White,QB,94.88220826,42.848,64.44438238,51.49711,63.41792516,22.7763209,2.784379683
Geno Smith,QB,70.08648199,115.0672,28.47564264,25.612154,59.81036966,42.07255184,1.421600712
Trevor Siemian,QB,96.08069402,71.6056,43.4942591,22.790548,58.49277528,32.06453039,1.82422055
Joe Flacco,QB,42.89238061,99.3816,39.07926061,23.670202,51.2558608,33.14248401,1.546530453
Tyler Huntley,QB,85.23781439,37.6504,49.90843867,25.698582,49.62380877,25.71781097,1.929550257
Taysom Hill,QB,69.79595891,72.3224,26.36171057,30.010027,49.62252412,24.81912788,1.999366148
Andy Dalton,QB,96.77797444,18.7728,48.48114496,31.59079,48.90567735,34.15519813,1.431866305
Tyrod Taylor,QB,73.92739585,65.8992,27.03553666,28.058899,48.73025788,24.68220913,1.974306985
Sean Mannion,QB,53.2441197,60.276,36.06873139,23.429193,43.25451102,16.67535139,2.593919013
Nick Foles,QB,61.16027302,21.5896,60.37323617,28.772831,42.97398505,20.75604097,2.070432657
Garrett Gilbert,QB,48.92414314,55.8896,38.55694171,23.603647,41.74358296,14.03426998,2.974403586
Ian Book,QB,54.66606016,54.8056,35.49059307,20.949059,41.47782806,16.41986919,2.526075426
Jordan Love,QB,55.46490715,64.3008,22.67497722,18.469555,40.22755984,23.04489514,1.745616962
Gardner Minshew II,QB,67.61896083,46.2128,21.22142519,22.772877,39.45651575,21.98206102,1.794941599
Kellen Mond,QB,36.07889523,72.20506667,30.74616199,16.443146,38.86831747,23.72043738,1.63860037
Jacoby Brissett,QB,80.26120398,25.4144,22.87899265,26.140564,38.67379016,27.76017413,1.393139322
Mason Rudolph,QB,54.3153082,50.8968,21.98526508,21.5436,37.18524332,17.86193582,2.081814855
Chad Henne,QB,9.293935006,84.1944,33.04270803,19.485321,36.50409101,33.24844791,1.097918649
Drew Lock,QB,64.63065432,25.6776,23.94512166,20.788584,33.76049,20.67939358,1.632566732
Cooper Rush,QB,53.37774434,48.9168,9.160653928,22.462324,33.47938057,21.18989382,1.579969246
Colt McCoy,QB,49.08344317,34.2368,22.68131829,26.818233,33.20494862,11.61505113,2.858786264
Case Keenum,QB,45.31140252,42.164,17.77549927,25.493992,32.68622345,13.20708501,2.474900662
Tim Boyle,QB,56.80214605,42.212,11.03246487,20.315247,32.59046448,20.77023336,1.569094767
Nick Mullens,QB,53.49498441,25.1664,25.6280036,21.876907,31.54157375,14.73059373,2.14122895
Mitchell Trubisky,QB,26.08010339,66.3456,12.65560633,17.288443,30.59243818,24.47703665,1.249842398
Kyle Allen,QB,42.27705951,47.2984,12.51918265,18.697903,30.19813629,17.15731304,1.760073749
Brandon Allen,QB,31.35621221,60.8184,10.01192827,17.967058,30.03839962,22.3302627,1.345187919
Mike Glennon,QB,56.98291198,24.7184,15.74586127,22.03607,29.87081081,18.46176888,1.617982059
Jake Fromm,QB,49.40278008,24.9832,22.47986932,18.628834,28.87367085,13.93338281,2.072265669
P.J. Walker,QB,49.8908576,31.188,11.1818664,21.978313,28.55975925,16.40355653,1.741071163
Cam Newton,QB,47.70792242,33.172,10.63488597,20.456533,27.99283535,16.05825504,1.743205304
Chris Streveler,QB,29.63454014,49.4568,12.35019599,17.52277,27.24107653,16.48687197,1.652288959
Ryan Fitzpatrick,QB,0.19173415,38.6688,49.56045885,19.895638,27.07915775,21.71224855,1.247183482
C.J. Beathard,QB,25.02613775,50.9328,11.48641743,17.742477,26.29695805,17.33081026,1.517353064
Feleipe Franks,QB,30.94356979,36.35630667,20.81570124,16.645267,26.19021117,9.054192987,2.892605803
Brian Hoyer,QB,17.23130387,32.0672,28.98076516,20.226068,24.62633426,7.03269434,3.501692675
Jacob Eason,QB,35.10120491,21.7784,17.64953028,17.4796,23.0021838,8.30730181,2.768911534
Josh Rosen,QB,31.94391791,22.0592,19.95458381,16.807123,22.69120618,6.535126701,3.472190704
John Wolford,QB,26.86265154,19.8944,14.90537634,16.971039,19.65836672,5.220794295,3.765397679
Brett Rypien,QB,28.7602192,13.52157206,17.38556282,16.780174,19.11188202,6.652293241,2.87297648
Blaine Gabbert,QB,16.24094948,21.0848,19.77673298,18.26067,18.84078812,2.082248792,9.048288654
Marcus Mariota,QB,22.29833085,18.64588,14.28893385,17.196598,18.10743567,3.329870172,5.437880379
