,Baruta Algorithm,Lasso Selection,Mallows Cp
TD,0.343677774,45.01807675,40.83919862
Y/G,0.095401898,14.73638499,207.7128809
1D,0.070048561,13.27317734,68.10934299
Yds,0.062269328,12.66778433,66.67018438
Age,0.051182363,10.07972079,823.1803657
QBR,0.033218166,0,680.9788749
Wins,0.032578424,8.065315766,146.1884679
Cmp%,0.026036256,1.859020052,778.3835498
Sk%,0.023286669,1.802700358,795.4895748
ANY/A,0.022648609,0,730.6862208
TD%,0.022350237,1.383816098,773.4329183
Int%,0.02214238,0.091142895,812.199234
Lng,0.021827318,0,431.4997059
NY/A,0.019883931,1.080355529,738.2299355
Yds2,0.018710172,0,376.2313141
Cmp,0.017629839,0,93.76677979
Y/C,0.016349176,0,814.645887
Att,0.016082924,0,124.8134071
AY/A,0.013931392,0,749.411704
GWD,0.013051056,10.79250303,326.9108396
Y/A,0.012903535,0,761.5057904
Int,0.012639059,10.31050119,407.4694507
Sk,0.011028579,6.404762594,382.8388021
G,0.008422939,0,286.190628
GS,0.007416049,0,154.845719
4QC,0.005283366,0,431.8849236
